Geneid	smallsample1.fastq_tophat/accepted_hits.bam	smallsample2.fastq_tophat/accepted_hits.bam
Trpm8	0	0
Spp2	0	0
Glrp1	0	0
Gm19589	0	0
Arl4c	4	1
2410088K16Rik	0	0
1700067G17Rik	0	0
Sh3bp4	2	2
C030007H22Rik	0	0
Agap1	1	1
4933400F21Rik	0	0
Gbx2	1	1
Asb18	0	0
Iqca	0	0
Ackr3	0	0
Cops8	1	1
Col6a3	0	0
Mlph	0	0
Prlh	0	0
Rab17	0	0
Lrrfip1	2	2
Rbm44	0	0
Ramp1	0	0
Ube2f	0	0
Scly	3	0
Espnl	0	0
Klhl30	0	0
Fam132b	0	0
Ilkap	1	2
1700020N18Rik	0	0
Hes6	4	3
Per2	0	1
Traf3ip1	0	1
Asb1	1	1
Twist2	0	0
Hdac4	1	0
Ndufa10	3	3
Mir6900	0	0
Olfr1416	0	0
Olfr1415	0	0
Olfr1414	0	0
Olfr1413	0	0
Olfr1412	0	0
Olfr1411	0	0
Olfr1410	0	0
Olfr12	0	0
Myeov2	1	1
Otos	0	0
Gpc1	7	2
Mir149	0	0
Ankmy1	0	0
Dusp28	0	0
Rnpepl1	3	3
9430060I03Rik	0	0
Capn10	1	1
Gpr35	0	0
Aqp12	0	0
Kif1a	2	0
Agxt	0	0
2310007B03Rik	0	0
Sned1	0	0
Mir6901	0	0
Mterfd2	1	0
Pask	1	3
Ppp1r7	1	0
Mir6902	0	0
Mir6345	0	0
Ano7	0	0
Hdlbp	17	12
Sept2	6	8
Farp2	0	0
Stk25	2	3
Bok	0	1
Thap4	3	3
Atg4b	1	2
Dtymk	4	3
Ing5	1	3
D2hgdh	1	0
Gal3st2	0	0
Gm9994	0	0
Gm6086	0	0
Neu4	0	0
Pdcd1	0	0
4930440C22Rik	0	0
Fam174a	1	0
St8sia4	0	0
4930598F16Rik	0	0
1700063A18Rik	0	0
4930533P14Rik	0	0
Slco4c1	0	0
Slco6b1	0	0
Slco6c1	0	0
D1Ertd622e	1	0
Ppip5k2	7	5
Gin1	1	0
Pam	1	0
B230216N24Rik	0	0
1810006J02Rik	0	0
Slco6d1	0	0
Cntnap5b	0	0
Gm20268	0	0
Cdh20	0	0
Rnf152	1	0
Pign	2	3
2310035C23Rik	4	2
Tnfrsf11a	0	0
Zcchc2	0	2
Gm20753	0	0
Phlpp1	0	2
Bcl2	0	0
Kdsr	1	0
Vps4b	2	4
Serpinb5	0	0
Serpinb12	0	0
Serpinb13	0	0
Serpinb3a	0	0
Serpinb3d	0	0
Serpinb3b	0	0
Serpinb3c	0	0
Serpinb11	0	0
Serpinb7	0	0
Serpinb2	0	0
Serpinb10	0	0
Serpinb8	0	0
D830032E09Rik	0	0
Cdh7	0	0
Cdh19	0	0
Dsel	0	0
Cntnap5a	0	0
Tsn	4	2
Nifk	4	2
Clasp1	1	1
2900060B14Rik	0	0
Tfcp2l1	3	8
Gli2	3	2
Inhbb	0	0
Ralb	1	2
Tmem185b	0	0
Epb4.1l5	1	2
Ptpn4	0	1
Tmem177	0	0
Gm101	0	0
Sctr	0	0
Tmem37	0	0
Dbi	1	0
3110009E18Rik	0	0
Steap3	0	0
C1ql2	0	0
Marco	0	0
En1	0	0
Celrr	0	0
Insig2	0	1
Ccdc93	1	1
Htr5b	0	0
Ddx18	2	2
Dpp10	0	0
Actr3	4	2
Slc35f5	0	0
Gpr39	0	0
Lypd1	0	0
Nckap5	0	0
Mgat5	0	0
Tmem163	0	0
Acmsd	0	0
2900009J06Rik	0	0
Ccnt2	4	2
Map3k19	0	0
Rab3gap1	0	0
Zranb3	0	2
R3hdm1	5	2
Mir128-1	0	0
Ubxn4	4	6
Lct	0	0
Mcm6	9	25
Dars	6	3
Cxcr4	0	0
Thsd7b	0	0
Daf2	0	0
Cd55	0	1
Zp3r	0	0
C4bp	0	0
C4bp-ps1	0	0
Pfkfb2	0	3
Yod1	0	1
AA986860	0	0
Fcamr	0	0
Pigr	0	0
Faim3	0	0
Il24	0	0
Il20	0	0
Il19	0	0
Il10	0	0
Mapkapk2	0	2
Dyrk3	1	2
Eif2d	2	1
Rassf5	0	0
Ikbke	0	0
Srgap2	2	4
Fam72a	0	0
Avpr1b	0	0
Ctse	0	0
5430435G22Rik	0	0
Slc26a9	0	0
Pm20d1	2	0
Slc41a1	1	1
Rab7l1	1	0
Nucks1	27	22
Slc45a3	0	0
Elk4	0	0
Mfsd4	0	0
Cdk18	0	0
Lemd1	0	0
Mir135b	0	0
Klhdc8a	0	0
Nuak2	0	0
Tmcc2	0	0
Dstyk	0	0
Rbbp5	5	6
Tmem81	0	1
Cntn2	0	1
Nfasc	1	0
Gm10538	0	0
Lrrn2	0	0
Mdm4	3	3
Pik3c2b	0	0
Ppp1r15b	8	7
Plekha6	1	0
Gm19461	0	0
Golt1a	0	0
Kiss1	0	0
Ren2	0	0
Ren1	0	0
Etnk2	0	1
Sox13	1	2
Snrpe	0	4
Zc3h11a	7	8
Zbed6	7	4
Lax1	0	0
Atp2b4	0	0
Mir6903	0	0
Optc	0	0
Prelp	0	0
Fmod	0	0
Btg2	2	3
Chit1	0	0
